MOF,H fraction,He fraction,Li fraction,Be fraction,B fraction,C fraction,N fraction,O fraction,F fraction,Ne fraction,Na fraction,Mg fraction,Al fraction,Si fraction,P fraction,S fraction,Cl fraction,Ar fraction,K fraction,Ca fraction,Sc fraction,Ti fraction,V fraction,Cr fraction,Mn fraction,Fe fraction,Co fraction,Ni fraction,Cu fraction,Zn fraction,Ga fraction,Ge fraction,As fraction,Se fraction,Br fraction,Kr fraction,Rb fraction,Sr fraction,Y fraction,Zr fraction,Nb fraction,Mo fraction,Tc fraction,Ru fraction,Rh fraction,Pd fraction,Ag fraction,Cd fraction,In fraction,Sn fraction,Sb fraction,Te fraction,I fraction,Xe fraction,Cs fraction,Ba fraction,La fraction,Ce fraction,Pr fraction,Nd fraction,Pm fraction,Sm fraction,Eu fraction,Gd fraction,Tb fraction,Dy fraction,Ho fraction,Er fraction,Tm fraction,Yb fraction,Lu fraction,Hf fraction,Ta fraction,W fraction,Re fraction,Os fraction,Ir fraction,Pt fraction,Au fraction,Hg fraction,Tl fraction,Pb fraction,Bi fraction,Po fraction,At fraction,Rn fraction,Fr fraction,Ra fraction,Ac fraction,Th fraction,Pa fraction,U fraction,Np fraction,Pu fraction,Am fraction,Cm fraction,Bk fraction,Cf fraction,Es fraction,Fm fraction,Md fraction,No fraction,Lr fraction,Rf fraction,Db fraction,Sg fraction,Bh fraction,Hs fraction,Mt fraction,Ds fraction,Rg fraction,Cn fraction,Nh fraction,Fl fraction,Mc fraction,Lv fraction,Ts fraction,Og fraction,mean AtomicWeight,mean Column,mean Row,range Number,mean Number,range AtomicRadius,mean AtomicRadius,range Electronegativity,mean Electronegativity,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons
ACAJIY_w_CO2_1_relaxed,0.37209302325581395,0,0,0,0,0.2351421188630491,0.37209302325581395,0.00516795865633075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015503875968992248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.507391886304909,9.51421188630491,1.6589147286821706,29.0,4.89405684754522,1.1,0.5235142118863049,1.79,2.592739018087855,1.627906976744186,1.607235142118863,0.15503875968992248,0.0,0.4801829268292683,0.4740853658536585,0.04573170731707317,0.0
ACAJIZ_w_CO2_1_relaxed,0.4085106382978723,0,0,0,0,0.37872340425531914,0.03404255319148936,0.14468085106382977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03404255319148936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.915386127659573,8.91063829787234,1.6595744680851063,28.0,5.0638297872340425,1.1,0.522127659574468,1.54,2.530340425531915,1.5574468085106383,1.4382978723404256,0.3404255319148936,0.0,0.46683673469387754,0.43112244897959184,0.10204081632653061,0.0
ACAJOF_w_CO2_1_relaxed,0.42105263157894735,0,0,0,0,0.3765182186234818,0.032388663967611336,0.13765182186234817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032388663967611336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.660818056680162,8.736842105263158,1.6437246963562753,28.0,4.947368421052632,1.1,0.5161943319838057,1.54,2.5199595141700404,1.5465587044534412,1.4008097165991902,0.32388663967611336,0.0,0.4727722772277228,0.4282178217821782,0.09900990099009901,0.0
ACIBOE_w_CO2_1_relaxed,0.147239263803681,0,0,0,0,0.44785276073619634,0,0.3312883435582822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0736196319018405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.641099754601226,12.60122699386503,2.0,29.0,7.693251533742331,1.1,0.6484662576687116,1.79,2.727055214723926,1.852760736196319,2.2208588957055215,0.7361963190184049,0.0,0.3852040816326531,0.46173469387755106,0.15306122448979592,0.0
ACODON_w_CO2_1_relaxed,0.27932960893854747,0,0,0,0,0.4860335195530726,0,0.18994413407821228,0,0,0,0,0,0,0.0223463687150838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223463687150838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.401698033519553,10.525139664804469,1.8324022346368716,64.0,6.5027932960893855,1.5,0.5854748603351956,2.23,2.583296089385475,1.7206703910614525,1.7988826815642458,0.0,0.2011173184357542,0.4624624624624624,0.48348348348348347,0.0,0.05405405405405406
ACOGAB_w_CO2_1_relaxed,0.4067796610169492,0,0,0,0,0.3672316384180791,0.13559322033898305,0.05649717514124294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022598870056497175,0,0,0,0,0,0,0,0,0,0,0,0,0.011299435028248588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.699773898305084,9.005649717514125,1.6723163841807909,47.0,5.344632768361582,1.3,0.5242937853107343,1.75,2.5238983050847454,1.5932203389830508,1.4802259887005649,0.3389830508474576,0.0,0.46688741721854304,0.43377483443708603,0.09933774834437085,0.0
ACOGEF_w_CO2_1_relaxed,0.4067796610169492,0,0,0,0,0.3672316384180791,0.13559322033898305,0.05649717514124294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011299435028248588,0,0,0,0,0.022598870056497175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.761931412429378,9.005649717514125,1.694915254237288,52.0,5.751412429378531,1.3,0.5299435028248587,1.75,2.5171186440677964,1.5932203389830508,1.4802259887005649,0.3389830508474576,0.0,0.46688741721854304,0.43377483443708603,0.09933774834437085,0.0
ACOLIP_w_CO2_1_relaxed,0.3619047619047619,0,0,0,0,0.42857142857142855,0.09523809523809523,0.09523809523809523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01904761904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.615278285714286,9.542857142857143,1.6761904761904762,29.0,4.933333333333334,1.1,0.5352380952380952,1.79,2.5376190476190477,1.638095238095238,1.5238095238095237,0.19047619047619047,0.0,0.4886363636363636,0.45454545454545453,0.056818181818181816,0.0
ACUBAB_w_CO2_1_relaxed,0,0,0,0,0,0.012345679012345678,0,0.6172839506172839,0,0,0,0,0,0,0.14814814814814814,0,0.024691358024691357,0,0,0,0,0,0,0,0,0,0,0,0,0.19753086419753085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.403109185185183,15.061728395061728,2.567901234567901,24.0,13.580246913580247,0.7500000000000001,0.8185185185185185,1.79,2.8833333333333333,2.0,3.0617283950617282,1.9753086419753085,0.0,0.28421052631578947,0.4350877192982456,0.2807017543859649,0.0
ACUTOI_w_CO2_1_relaxed,0.2868525896414343,0,0,0,0,0.3545816733067729,0.03187250996015936,0.23107569721115537,0,0,0.03187250996015936,0,0,0,0,0.03187250996015936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03187250996015936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.028959897370518,10.350597609561753,1.8725099601593624,47.0,6.876494023904383,1.55,0.6179282868525896,2.51,2.5927888446215137,1.6812749003984064,1.8565737051792828,0.3187250996015936,0.0,0.4359504132231405,0.4814049586776859,0.08264462809917356,0.0
ADABUE_w_CO2_1_relaxed,0.28865979381443296,0,0,0,0,0.36082474226804123,0.20618556701030927,0.10309278350515463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041237113402061855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.782565154639174,10.536082474226804,1.7938144329896908,28.0,5.917525773195877,1.1,0.5762886597938144,1.54,2.6149484536082475,1.6701030927835052,1.7525773195876289,0.41237113402061853,0.0,0.43548387096774194,0.45698924731182794,0.1075268817204301,0.0
ADAXEK_w_CO2_1_relaxed,0.2711864406779661,0,0,0,0,0.4576271186440678,0.03389830508474576,0.2033898305084746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03389830508474576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.496415762711864,10.745762711864407,1.7966101694915255,26.0,5.796610169491525,1.1,0.5779661016949151,1.56,2.6300000000000003,1.728813559322034,1.8305084745762712,0.23728813559322035,0.0,0.45535714285714285,0.48214285714285715,0.0625,0.0
ADAXIO_w_CO2_4_relaxed,0.28193832599118945,0,0,0,0,0.46255506607929514,0.03524229074889868,0.18502202643171806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03524229074889868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.370597444933919,10.56387665198238,1.7885462555066078,26.0,5.73568281938326,1.1,0.5757709251101321,1.56,2.609647577092511,1.7180616740088106,1.7709251101321586,0.24669603524229075,0.0,0.45990566037735847,0.4740566037735849,0.0660377358490566,0.0
ADIQEL_w_CO2_2_relaxed,0.3287671232876712,0,0,0,0,0.4520547945205479,0.0547945205479452,0.136986301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273972602739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.33466917808219,9.917808219178083,1.726027397260274,26.0,5.260273972602739,1.1,0.5534246575342465,1.56,2.5653424657534245,1.6712328767123288,1.6164383561643836,0.1917808219178082,0.0,0.48031496062992124,0.4645669291338583,0.055118110236220465,0.0
ADOBAX_charged_w_CO2_2_relaxed,0.23104693140794225,0,0,0,0,0.2924187725631769,0.05776173285198556,0.2815884476534296,0,0,0,0,0,0,0,0,0.007220216606498195,0,0,0,0,0,0.11552346570397112,0,0.01444043321299639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.993579205776172,10.498194945848375,2.036101083032491,24.0,7.783393501805054,1.15,0.6523465703971119,1.89,2.6317328519855594,1.7689530685920578,1.9205776173285198,0.4187725631768953,0.0,0.43057996485061517,0.46748681898066785,0.10193321616871706,0.0
ADOBEB_charged_w_CO2_1_relaxed,0.23104693140794225,0,0,0,0,0.2924187725631769,0.05776173285198556,0.2815884476534296,0,0,0,0,0,0,0,0,0.007220216606498195,0,0,0,0,0,0.11552346570397112,0,0.01444043321299639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.993579205776172,10.498194945848375,2.036101083032491,24.0,7.783393501805054,1.15,0.6523465703971119,1.89,2.6317328519855594,1.7689530685920578,1.9205776173285198,0.4187725631768953,0.0,0.43057996485061517,0.46748681898066785,0.10193321616871706,0.0
ADOBOL_charged_w_CO2_1_relaxed,0.23104693140794225,0,0,0,0,0.2924187725631769,0.05776173285198556,0.2815884476534296,0,0,0,0,0,0,0,0,0.007220216606498195,0,0,0,0,0,0.11552346570397112,0,0,0,0.01444043321299639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.051270902527076,10.527075812274369,2.036101083032491,26.0,7.812274368231047,1.1,0.6516245487364621,1.81,2.6364981949458484,1.7689530685920578,1.9205776173285198,0.44765342960288806,0.0,0.4275741710296684,0.46422338568935423,0.1082024432809773,0.0
ADOCEC_w_CO2_2_relaxed,0.2549800796812749,0,0,0,0,0.32270916334661354,0.06374501992031872,0.2151394422310757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12749003984063745,0,0,0,0,0.01593625498007968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.897813784860558,9.96812749003984,2.0318725099601593,27.0,7.7370517928286855,1.1,0.6537848605577689,1.81,2.5559760956175297,1.745019920318725,1.697211155378486,0.5099601593625498,0.0,0.4415322580645161,0.42943548387096775,0.12903225806451613,0.0
ADODAA_charged_w_CO2_1_relaxed,0.17454545454545456,0,0,0,0,0.3527272727272727,0.17454545454545456,0.2109090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08727272727272728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.777490254545453,12.065454545454546,2.0,28.0,7.7309090909090905,1.1,0.6483636363636364,1.54,2.7054181818181817,1.7381818181818183,2.0727272727272728,0.8727272727272727,0.0,0.37111801242236025,0.4425465838509317,0.18633540372670807,0.0
